PROV,2014_Factor,Pneumonia_Cases_2014,Pneumonia_Ratio_2014,HF_Cases_2014,HF_Ratio_2014,AMI_Cases_2014,AMI_Ratio_2014
100234,0.9990,87,0.950451,212,1.000476,66,1.089954
100236,0.9991,575,1.045707,629,0.978858,260,0.939373
100238,0.9931,258,1.148786,418,1.049557,216,1.161881
100239,0.9992,144,1.049291,105,0.982775,18,0.000000
100240,1.0000,0,0.000000,0,0.000000,0,0.000000
100242,0.9996,352,0.912626,292,0.900869,28,1.055128
100243,0.9986,382,1.121638,589,0.941112,421,0.989718
100244,1.0000,541,0.915601,837,0.961263,151,0.991966
100246,0.9966,243,1.044837,744,1.085182,465,1.037938
100248,0.9982,472,1.054713,694,0.975136,297,1.076535
100249,0.9998,186,0.964737,307,1.016063,152,0.850676
100252,0.9934,129,0.990668,407,1.090989,57,1.118716
100253,1.0000,310,0.837891,419,0.946949,94,0.970379
100254,0.9956,290,1.006850,447,1.111601,153,1.138023
100255,0.9993,90,0.977993,155,1.031251,44,0.947288
100256,0.9978,227,0.863858,920,1.033336,412,1.060673
100258,1.0000,753,0.948522,1373,0.986354,582,0.911397
100259,0.9960,320,0.992145,520,1.123000,106,1.041318
100260,0.9998,476,1.011815,757,0.976616,162,0.970055
100264,1.0000,517,0.961693,726,0.970480,355,0.966493
100265,0.9998,605,1.009473,776,0.937548,439,0.885728
100266,1.0000,247,0.919681,221,0.924548,46,0.972511
100267,0.9999,159,0.857926,348,0.885577,96,1.005851
100268,0.9991,201,0.988112,405,1.024483,122,0.973265
100269,0.9988,130,1.066026,273,0.986833,62,1.054738
100275,0.9962,237,1.087602,175,1.098280,49,1.032148
100276,0.9975,131,0.926314,193,1.125645,39,0.933506
100277,1.0000,23,0.000000,19,0.000000,3,0.000000
100281,0.9931,322,1.177552,530,1.110450,152,1.077589
100284,0.9979,162,1.091214,129,1.111035,28,1.001707
100285,0.9965,147,0.960686,123,1.200729,13,0.000000
100286,0.9995,333,0.939156,406,1.022041,150,0.901457
100287,1.0000,311,0.889329,337,0.950057,127,0.984092
100288,1.0000,78,0.971309,57,0.966348,19,0.000000
100289,0.9970,284,1.141877,415,1.030477,105,1.061925
100290,0.9979,838,0.881352,858,1.021533,373,1.066531
100291,0.9990,154,1.015562,145,1.033559,26,1.037634
100292,1.0000,200,0.931383,156,0.822066,27,0.956739
100296,0.9997,210,0.936002,270,0.972507,50,1.053365
100299,0.9999,129,1.006562,204,0.955192,119,0.980523
100302,0.9962,165,1.155499,248,1.032097,42,0.957520
100307,0.9990,244,0.985385,309,0.955705,85,1.112013
100313,1.0000,19,0.000000,12,0.000000,1,0.000000
100314,1.0000,2,0.000000,4,0.000000,0,0.000000
100315,1.0000,6,0.000000,2,0.000000,0,0.000000
100316,1.0000,1,0.000000,0,0.000000,0,0.000000
100317,1.0000,0,0.000000,0,0.000000,0,0.000000
110001,1.0000,578,0.985681,549,0.928919,127,0.823547
110002,0.9959,189,1.067333,168,0.988933,38,1.117566
110003,1.0000,352,0.986309,340,0.971711,69,0.928421
110004,0.9998,278,0.917467,183,0.900881,31,1.026760
110005,0.9935,470,1.054601,440,1.128592,206,1.163165
110006,1.0000,156,0.884719,201,0.967866,73,0.972143
110007,1.0000,424,0.951187,487,0.925038,409,0.863960
110008,0.9960,277,1.119965,189,1.044303,56,0.925332
110010,1.0000,251,0.992241,681,0.860285,469,0.867759
110011,1.0000,318,0.993292,388,0.987495,229,0.976593
110015,0.9991,105,1.033722,98,0.967412,22,0.000000
110016,0.9997,272,0.923303,545,1.009201,105,0.922577
110018,0.9999,281,1.003845,379,0.925986,77,0.999960
110023,0.9947,262,1.075125,126,1.094627,64,1.027008
110024,0.9994,388,1.019907,467,0.995400,26,1.040938
110025,1.0000,463,0.940157,599,0.893246,115,0.945054
110026,0.9818,176,1.148052,105,0.944223,22,0.000000
110027,1.0000,194,0.927164,113,0.980047,13,0.000000
110028,0.9997,690,1.018166,891,0.930164,642,0.972918
110029,1.0000,760,1.002512,1124,0.914880,758,0.900730
110030,1.0000,324,0.987630,202,0.976713,44,0.984226
110031,0.9966,471,1.120576,438,1.001267,85,0.962815
110032,0.9998,371,0.933442,233,0.985139,44,1.024139
110034,0.9986,183,1.040082,200,1.134078,128,1.024781
110035,0.9961,1016,1.111283,1422,1.035033,645,1.085247
110036,1.0000,216,0.926897,703,0.994743,304,0.922522
110038,1.0000,367,0.915763,378,0.924869,162,0.848404
110039,0.9987,180,1.055862,121,0.959372,31,0.992863
110040,1.0000,76,0.952564,110,0.983961,25,0.924741
110041,1.0000,222,0.876266,119,0.933751,12,0.000000
110042,0.9969,145,0.972286,93,1.098999,11,0.000000
110043,1.0000,325,0.957623,498,0.891805,324,0.968554
110044,1.0000,134,0.941265,90,0.890320,20,0.000000
110045,0.9999,113,1.002844,149,0.995465,1,0.000000
110046,0.9913,127,1.093093,190,1.166035,29,0.966496
110050,0.9993,83,1.003954,60,1.023299,3,0.000000
110051,0.9996,206,0.920459,117,0.904946,27,1.014853
110054,1.0000,491,0.844230,308,0.909371,107,0.905574
110059,0.9922,120,1.106639,89,0.971066,12,0.000000
110064,0.9997,164,0.913462,128,0.894980,44,1.121674
110069,0.9975,607,1.009661,585,1.098818,85,1.074534
110071,0.9941,184,1.058899,38,1.060080,8,0.000000
110073,0.9983,111,1.057215,139,0.982464,15,0.000000
110074,1.0000,433,0.936636,888,0.928013,533,0.933811
110075,0.9951,219,1.085385,322,1.145884,90,1.040097
110076,0.9999,494,0.946139,560,0.992312,109,1.008493
110078,0.9985,223,1.028472,737,0.952038,539,1.053508
110079,0.9995,168,1.019055,501,0.996360,120,1.060018
110082,1.0000,495,0.816463,768,0.915308,811,0.817394
110083,1.0000,514,0.937851,1032,0.873540,774,0.863279
110086,0.9993,345,1.005665,56,0.970608,4,0.000000
110087,0.9996,810,0.992983,943,0.919034,182,1.033586
110089,0.9913,275,1.113583,277,1.109349,21,0.000000
110091,0.9988,275,1.071025,327,0.981683,47,0.959530
110092,0.9935,179,1.048324,120,1.096189,11,0.000000
110095,0.9995,313,1.035254,395,0.998866,132,0.844551
110100,0.9992,86,1.022154,71,0.987429,4,0.000000
110101,1.0000,45,0.976991,83,0.981511,7,0.000000
110104,0.9884,206,1.218329,146,0.942035,29,0.977977
110105,1.0000,219,0.957554,221,0.944348,34,0.958312
110107,0.9983,409,1.061759,1013,0.985786,708,1.063056
110109,0.9890,133,1.155940,124,0.970575,6,0.000000
110111,1.0000,115,0.954351,39,1.002178,11,0.000000
110112,0.9992,41,1.024380,56,0.990568,2,0.000000
110113,0.9992,108,0.970156,62,1.022503,16,0.000000
110115,0.9989,83,0.896078,116,1.120304,39,0.970082
110121,1.0000,68,0.951070,84,0.963442,10,0.000000
110122,0.9980,356,0.993228,430,0.961793,308,1.076168
110124,0.9912,293,1.079707,207,1.068872,22,0.000000
110125,1.0000,195,0.860173,251,0.896508,101,0.985368
110128,0.9968,178,0.986085,225,0.969040,37,1.210175
110129,1.0000,545,0.936493,862,0.930799,390,0.891129
110130,1.0000,36,0.976786,34,0.993631,1,0.000000
110132,0.9988,149,1.003767,80,1.035440,19,0.000000
