PROV,2016_Factor,Pneumonia_Cases_2016,Pneumonia_Ratio_2016,HF_Cases_2016,HF_Ratio_2016,AMI_Cases_2016,AMI_Ratio_2016,HIP_Cases_2016,HIP_Ratio_2016,COPD_Cases_2016,COPD_Ratio_2016
50510,1.0000,6,0,9,0,1,0,5,0,2,0
50512,1.0000,5,0,10,0,4,0,5,0,11,0
50515,1.0000,20,0,23,0,6,0,9,0,6,0
50516,0.9922,334,1.117926153,554,1.1353172,243,1.038304854,444,1.057337496,594,1.047259465
50517,0.9968,64,0.991388561,88,1.074854103,11,0,70,0.927235733,86,1.029304798
50523,0.9936,194,1.057103898,311,1.113540105,126,1.006443538,45,1.123073296,373,0.961478873
50526,0.9969,98,0.996248291,123,1.105107446,32,1.010308476,2,0,143,0.962976955
50528,0.9951,79,1.025414163,51,1.008675447,1,0,0,0,65,1.033928352
50531,1.0000,36,0.960329319,19,0,3,0,1,0,48,0.995834958
50534,0.9963,205,0.968255984,125,0.965338564,89,0.978360446,511,1.028322333,97,1.004996247
50537,0.9885,62,0.976378515,55,1.017329428,6,0,73,1.195077123,54,0.936090214
50541,1.0000,1,0,6,0,2,0,3,0,4,0
50543,1.0000,0,0,0,0,0,0,0,0,0,0
50545,1.0000,6,0,0,0,0,0,0,0,0,0
50546,0.9916,34,1.049781293,0,0,0,0,0,0,0,0
50547,1.0000,9,0,0,0,0,0,0,0,8,0
50548,1.0000,6,0,0,0,0,0,0,0,2,0
50549,0.9981,484,0.995439206,596,1.027564327,388,0.954915338,751,0.853256484,392,1.077875868
50551,0.9935,348,1.056140732,352,1.103021733,119,0.985885741,191,1.039409502,200,1.017206318
50552,1.0000,31,0.961004469,14,0,1,0,0,0,6,0
50557,0.9977,512,0.996935355,531,1.010868885,328,0.979375795,291,0.967290743,480,1.098522484
50561,1.0000,8,0,5,0,5,0,4,0,9,0
50567,0.9978,471,0.927347906,557,0.972219624,254,0.916528986,507,1.05162315,364,1.007263005
50568,0.9965,149,0.963702893,138,1.025154526,63,1.076327232,47,0.984252167,191,1.025497342
50570,0.9981,449,0.907897484,402,1.0644368,228,0.989486042,155,0.973491214,325,0.9746436
50573,1.0000,1006,0.880567204,869,0.812769948,529,0.879538631,1139,0.649106308,492,0.931824257
50575,1.0000,121,0.990115163,112,1.001276193,32,0.96631869,40,0.98594492,190,0.933111771
50580,0.9981,120,1.036905278,131,1.028145165,50,0.947392398,6,0,161,0.988527995
50581,0.9936,166,0.92783523,262,1.091528754,133,1.069018994,70,1.081164733,197,1.002570574
50586,0.9996,10,0,61,1.032225339,16,0,3,0,47,0.959120828
50588,0.9983,92,0.959033371,111,0.970370969,16,0,57,1.073491581,108,0.984938664
50589,0.9993,115,1.006666075,118,0.907634551,32,0.980718352,205,0.985107017,73,1.021757742
50590,0.9979,157,0.97038346,210,1.050517037,32,1.055560855,675,0.776794158,224,1.029917266
50597,0.9995,149,0.974799031,148,0.869117896,22,0,35,0.91381664,125,1.018954936
50599,0.9974,343,0.990188749,534,0.998184955,284,1.099748248,352,1.066213668,263,0.959230918
50603,0.9992,501,0.937785066,636,0.990972596,225,1.030045587,345,0.880072653,405,0.965160028
50604,1.0000,13,0,23,0,23,0,3,0,19,0
