"Readmission_Rate","COPD_L","COPD_H","AMI_L","AMI_H","PNE_L","PNE_H","HF_L","HF_H","HIP_L","HIP_H"
0.134,1.05358504829056,1.08054770125515,0.985328701244746,1.00776616989373,1.0268013117746,1.04462224457233,1.07149359432581,1.10457677500492,0.856735893765229,0.95770738332403
0.135,1.05184325492843,1.07796542574988,0.984087301429435,1.00640148959668,1.02553776118289,1.04327716336884,1.0697037474412,1.10184817818799,0.855364881714645,0.958802334381079
0.136,1.0500963118986,1.07542743491923,0.982843426409022,1.00504176923818,1.02433982257182,1.04198315423959,1.06792384267899,1.09916320384362,0.853950447395289,0.9599460914727
0.137,1.04834453777447,1.07293327940265,0.981597702535605,1.00369049133139,1.02319854431874,1.04073466085683,1.06615392413009,1.09652186361416,0.852492167764911,0.961139241601036
0.138,1.04658833923152,1.07048242173755,0.980350808301027,1.0023510862497,1.0221023614876,1.03952594235065,1.06439405591499,1.0939241491123,0.850989675973701,0.962382315575792
0.139,1.04482821486633,1.06807423254024,0.979103603379416,1.00102680318426,1.02103944386056,1.03835152313294,1.0626443246664,1.09137002943855,0.849442656670866,0.963675792707655
0.14,1.04306475707802,1.06570798862447,0.977857240442454,0.999720598328623,1.01999804298767,1.03720584584771,1.06090484206275,1.08885944864768,0.847850841289485,0.965020105523441
0.141,1.04129865166607,1.06338287340363,0.976613256888626,0.998435043149567,1.01896680126462,1.03608296229334,1.05917574736176,1.0863923232152,0.846214003379509,0.966415644433093
0.142,1.03953067488001,1.06109797984109,0.975373643666516,0.997172255563762,1.01793501714513,1.03497626821013,1.05745720987304,1.08396853956471,0.84453195404792,0.967862762289526
0.143,1.03776168776786,1.05885231610169,0.974140888966721,0.995933856245861,1.01689285615601,1.03387829226536,1.05574943129926,1.08158795172675,0.842804537554352,0.969361778792997
0.144,1.0359926278039,1.05664481392403,0.972917995633238,0.994720951217124,1.01583149608596,1.03278055086437,1.05405264786693,1.07925037920802,0.841031627100267,0.970912984701941
0.145,1.03422449791977,1.05447433958937,0.971708472509574,0.993534140499298,1.01474319706484,1.03167347807135,1.05236713216211,1.07695560515567,0.839213120840302,0.972516645821616
0.146,1.03245835320237,1.05233970722367,0.970516301317555,0.992373551235809,1.01362129265055,1.03054643452247,1.05069319458279,1.07470337490493,0.837348938135851,0.974173006750521
0.147,1.03069528564267,1.05023969404885,0.969345881787,0.991238892562094,1.01246010485913,1.02938779239573,1.04903118432068,1.07249339499731,0.835439016063427,0.975882294372039
0.148,1.02893640740875,1.0481730571097,0.968201958386728,0.990129528874585,1.01125479212719,1.02818508744857,1.04738148978957,1.0703253327522,0.833483306183831,0.977644721085262
0.149,1.02718283316635,1.04613855095337,0.967089532025719,0.98904456812956,1.01000114252159,1.0269252258082,1.04574453842733,1.06819881646498,0.831481771572757,0.979460487774392
0.15,1.02543566197728,1.04413494573092,0.966018236362235,0.987981548888493,1.00868809408847,1.02557883500592,1.04412079581237,1.06611343629044,0.829434384108965,0.981329786520564
0.151,1.0236959592734,1.04216104522337,0.965011453033992,0.986934104279695,1.00727864700295,1.02406847295404,1.04251076405404,1.06406874585243,0.827341122012658,0.983252803063468
0.152,1.02196473933804,1.04021570436028,0.964063866965812,0.985906140754483,1.00577366870564,1.02241837285025,1.04091497943812,1.06206426459839,0.825201967623976,0.98522971902286
0.153,1.02024294863891,1.03829784588681,0.963165328405901,0.984903767804398,1.00417877126793,1.02066792051135,1.0393340093327,1.06009948089345,0.823016905409534,0.987260713892019
0.154,1.01853145025769,1.03640647593415,0.962305456883944,0.983933325639504,1.00250061031184,1.01885545820351,1.03776844838446,1.05817385582413,0.820785920183607,0.989345966816564
0.155,1.01683100956448,1.0345406983451,0.961474314198094,0.983000712201394,1.00074903275181,1.0170161369005,1.03621891405967,1.05628682765739,0.818508995529717,0.991485658172869
0.156,1.01514228119834,1.03269972769347,0.960663026714654,0.982110760863515,0.998938892854577,1.01518010022375,1.03468604160531,1.05443781687944,0.816186112408007,0.993679970960686
0.157,1.01346579734791,1.0308829010035,0.959864336645379,0.981266689153857,0.997091247334794,1.01337128934682,1.03317047852356,1.05262623172134,0.813817247933756,0.995929092024628
0.158,1.01180195728161,1.02908968821965,0.959073043808453,0.980469656993984,0.995233670317891,1.01160712803246,1.03167287866514,1.05085147406555,0.811402374312632,0.998233213118923
0.159,1.01015101805965,1.02731970149458,0.958286294337479,0.979718477990042,0.993399622932291,1.00989915304045,1.03019389605381,1.04911294562155,0.80894145791873,1.00059253182937
0.16,1.00851308636934,1.02557270335387,0.957503683266421,0.979009516847812,0.991627052253924,1.00825441518305,1.02873417855467,1.04741005425743,0.806434458502066,1.00300725236585
0.161,1.00688811146125,1.02384861375983,0.956727160960189,0.978336782942134,0.989956526926845,1.00667734370438,1.02729436149434,1.04574222037981,0.803881328512915,1.00547758623798
0.162,1.00527600333486,1.0221475960989,0.955960760749343,0.977692202682195,0.988409212589758,1.00515059451749,1.02587506133071,1.04410888326399,0.801282012531161,1.00800375282577
0.163,1.00371833349456,1.02049688771408,0.955210186706049,0.977066031735575,0.986841129987967,1.00351005026355,1.02447686945672,1.04250950725025,0.798636446789661,1.01058597985627
0.164,1.00224501980938,1.01891654227082,0.954482308871989,0.976447359800341,0.985217383353688,1.00176109836331,1.02310034620603,1.04094358773815,0.795944558781458,1.01322450379631
0.165,1.00085036864065,1.01740454888205,0.953784606574197,0.975824667289207,0.983539823754563,0.999954905100128,1.02174601511144,1.03941065692808,0.793206266941509,1.01591957017084
0.166,0.999528266558451,1.01595931645194,0.953124581752056,0.975186412002536,0.981813444467248,0.998139494548311,1.02041435744991,1.03791028927632,0.790421480394415,1.01867143381516
0.167,0.998272385050733,1.01457946896681,0.952545657076147,0.97455516433016,0.980050187932596,0.996355941617983,1.01910580709243,1.03644210664507,0.787590098760373,1.02148035906895
0.168,0.997076371001693,1.01326365501674,0.952081017373532,0.973974540198245,0.978271678712353,0.994635639098375,1.01782074566427,1.03500578314228,0.78471201201237,1.02434661991913
0.169,0.995934024272272,1.01201037021503,0.951700158572211,0.973449922209556,0.976510240328921,0.992999280818059,1.01655949801153,1.03360104965507,0.781787100378261,1.02727050009774
0.17,0.994839460684804,1.01081779421364,0.951372737367409,0.972986012856239,0.974807925151337,0.991457831758973,1.01532232796453,1.03222769808633,0.778815234282076,1.03025229314064
0.171,0.993787256008063,1.00968364671803,0.951071093315647,0.972584831769136,0.973213890418823,0.990015152032871,1.01410943438761,1.03088558530493,0.775796274319437,1.0332923024121
0.172,0.992772564708493,1.00860506873604,0.950772153295584,0.972243811256957,0.971780803509904,0.988671591612203,1.01292094750862,1.02957463681623,0.772730071262575,1.03639084109979
0.173,0.991791206747716,1.0075785357803,0.95045880508667,0.971954422727618,0.970539327352573,0.987410087191884,1.01175692553,1.028294850151,0.769616466090867,1.03954823218423
