"PROVIDER_NUMBER","value_2011","value_2012","value_2013","value_2014","Y12_11","Y13_12","Y14_13","change","change2","min","max","year_change"
281318,50,62,65,66,1.24,1.14017542509914,1.09696131048652,1.10125723738627,1.15904557852855,1.10125723738627,1.15904557852855,1.13755483504731
281319,182,204,185,163,1.12087912087912,1.00820807201863,0.963915000427033,0.969607649019414,1.03100073110826,0.969607649019414,1.03100073110826,1.00218687223318
281320,175,146,153,125,0.834285714285714,0.935032466968776,0.893903535096568,0.899741461272485,0.887740572117019,0.887740572117019,0.899741461272485,0.895240431528044
281321,110,107,96,84,0.972727272727273,0.934198732993827,0.914033683237395,0.914974511469839,0.940319896319498,0.914974511469839,0.940319896319498,0.940071787336779
281322,272,289,264,275,1.0625,0.985184366143778,1.00366303636945,1.00588715878508,1.01711580083774,1.00588715878508,1.01711580083774,1.00596621107411
281323,92,69,37,39,0.75,0.634171832426731,0.751205789857465,0.780095312704008,0.711792540761399,0.711792540761399,0.780095312704008,0.723570325620441
281324,145,121,105,119,0.83448275862069,0.850962943396763,0.936252491409217,0.945194895665115,0.87389939780889,0.87389939780889,0.945194895665115,0.8892712645503
281325,137,96,99,86,0.700729927007299,0.850075136224015,0.856234313256238,0.866888931898056,0.802346458829184,0.802346458829184,0.866888931898056,0.863058378544218
281326,154,154,150,164,1,0.986927542439654,1.02119271759517,1.0224531024531,1.00270675334494,1.00270675334494,1.0224531024531,1.02067942915053
281327,197,146,153,172,0.741116751269036,0.881277337841439,0.955771494196566,0.971081654428145,0.859388527769014,0.859388527769014,0.971081654428145,0.965624500366672
281328,279,217,165,190,0.777777777777778,0.769023958965106,0.879798328540442,0.8965538642958,0.808866688427776,0.808866688427776,0.8965538642958,0.88429184963839
281329,427,445,345,424,1.04215456674473,0.898867359110344,0.997652573526004,1.0154736576225,0.97955816646036,0.97955816646036,1.0154736576225,1.00712487381408
281330,11,12,2,6,1.09090909090909,0.426401432711221,0.817057940643244,1.41919191919192,0.778122821421185,0.778122821421185,1.41919191919192,1.39567775640123
281331,68,151,115,133,2.22058823529412,1.30045240996671,1.25058795869442,1.37956645946602,1.59054286798508,1.37956645946602,1.59054286798508,1.46765678608178
281332,226,238,206,225,1.05309734513274,0.954727408624452,0.998522892975424,1.00362552444296,1.00211588224421,1.00211588224421,1.00362552444296,1.00326396982609
281333,138,117,71,66,0.847826086956522,0.717281502356772,0.78202676367282,0.794747052860954,0.782378117662038,0.782378117662038,0.794747052860954,0.782675894885062
281334,385,350,348,332,0.909090909090909,0.950734507576171,0.951829406478359,0.952466537294124,0.937218274381813,0.937218274381813,0.952466537294124,0.941119256464733
281336,445,451,492,465,1.01348314606742,1.05148370293034,1.01476227625271,1.01650472939867,1.02657637508349,1.01650472939867,1.02657637508349,1.01961561735802
